2	23
5	12
8	2
11	16
14	31
17	50
20	22
23	43
26	70
29	60
32	51
35	75
38	77
41	41
44	15
47	84
50	74
53	23
56	12
59	2
62	16
65	31
68	50
71	22
74	43
77	70
80	60
83	51
86	75
89	77
92	41
95	15
98	84
101	74
104	23
107	12
110	2
113	16
116	31
119	50
122	22
125	43
128	70
131	60
134	51
137	75
140	77
143	41
146	15
149	84
152	74
155	23
158	12
161	2
164	16
167	31
170	50
173	22
176	43
179	70
182	60
185	51
188	75
191	77
194	41
197	15
200	84
203	74
206	23
209	12
212	2
215	16
218	31
221	50
224	22
227	43
230	70
233	60
236	51
239	75
242	77
245	41
248	15
251	84
254	74
257	23
260	12
263	2
266	16
269	31
272	50
275	22
278	43
281	70
284	60
287	51
290	75
293	77
296	41
299	15
302	84
305	74
308	23
311	12
314	2
317	16
320	31
323	50
326	22
329	43
332	70
335	60
338	51
341	75
344	77
347	41
350	15
353	84
356	74
359	23
362	12
365	2
368	16
371	31
374	50
377	22
380	43
383	70
386	60
389	51
392	75
395	77
398	41
401	15
404	84
407	74
410	23
413	12
416	2
419	16
422	31
425	50
428	22
431	43
434	70
437	60
440	51
443	75
446	77
449	41
452	15
455	84
458	74
461	23
464	12
467	2
470	16
473	31
476	50
479	22
482	43
485	70
488	60
491	51
494	75
497	77
23	2
12	5
2	8
16	11
31	14
50	17
22	20
43	23
70	26
60	29
51	32
75	35
77	38
41	41
15	44
84	47
74	50
23	53
12	56
2	59
16	62
31	65
50	68
22	71
43	74
70	77
60	80
51	83
75	86
77	89
41	92
15	95
84	98
74	101
23	104
12	107
2	110
16	113
31	116
50	119
22	122
43	125
70	128
60	131
51	134
75	137
77	140
41	143
15	146
84	149
74	152
23	155
12	158
2	161
16	164
31	167
50	170
22	173
43	176
70	179
60	182
51	185
75	188
77	191
41	194
15	197
84	200
74	203
23	206
12	209
2	212
16	215
31	218
50	221
22	224
43	227
70	230
60	233
51	236
75	239
77	242
41	245
15	248
84	251
74	254
23	257
12	260
2	263
16	266
31	269
50	272
22	275
43	278
70	281
60	284
51	287
75	290
77	293
41	296
15	299
84	302
74	305
23	308
12	311
2	314
16	317
31	320
50	323
22	326
43	329
70	332
60	335
51	338
75	341
77	344
41	347
15	350
84	353
74	356
23	359
12	362
2	365
16	368
31	371
50	374
22	377
43	380
70	383
60	386
51	389
75	392
77	395
41	398
15	401
84	404
74	407
23	410
12	413
2	416
16	419
31	422
50	425
22	428
43	431
70	434
60	437
51	440
75	443
77	446
41	449
15	452
84	455
74	458
23	461
12	464
2	467
16	470
31	473
50	476
22	479
43	482
70	485
60	488
51	491
75	494
77	497
